FINCLASS - ATIVOS / FUNDOS / EMPRESAS
Gerado em: 21/08/2026 10:17:44
Itens coletados: 37
Nomes únicos: 37

[A - AÇÕES]
BR PARTNERS | BRBI11
GRUPO MATEUS | GMAT3
KEPLER WEBER | KEPL3
PRIO | PRIO3
SLC AGRÍCOLA | SLCE3
VAMOS | VAMO3
WIZ CO. | WIZC3

[R - REAL ESTATE (FUNDOS IMOBILIÁRIOS)]
BTG CORPORATE OFFICE FUND FII | BRCR11
CAPITÂNIA SECURITIES II | CPTS11
PATRIA PLUS MULTIESTRATÉGIA REAL ESTATE FII | RBRX11
PÁTRIA SECURITIES | PSEC11
RIO BRAVO RENDA VAREJO | RBVA11
TRX REAL ESTATE | TRXF11
VBI PRIME PROPERTIES | PVBI11
VINCI LOGÍSTICA | VILG11
VINCI SHOPPING CENTERS FII | VISC11
XP CRÉDITO IMOBILIÁRIO | XPCI11
XP MALLS | XPML11

[C - CAIXA (RENDA FIXA)]
CDB DO DAYCOVAL, CDB DO BMG OU TESOURO RESERVA | Renda Fixa Pós
CPTI11 (CAPITÂNIA INFRA) | Renda Fixa Dinâmica
ETF IRFM11 OU ETF IDKA11 | Renda Fixa Dinâmica
JURO11 (SPARTA INFRA RENDA FIXA) | Renda Fixa Dinâmica
KDIF11 (KINEA INFRA RENDA FIXA) | Renda Fixa Dinâmica
TESOURO IPCA 2050 | Renda Fixa Dinâmica

[A - ALTERNATIVOS]
ABSOLUTE VERTEX | Multimercado
ALUG11 (no exterior é o VNQ) | Internacional
BITCOIN | Teses alternativas
BNDX11 (no exterior é o BNDX) | Internacional
GENOA CAPITAL RADAR | Multimercado
GOLD11 (no exterior é o IAU) | Internacional
HTEK11 | Teses alternativas
IBIUNA HEDGE ST | Multimercado
KAPITALO KAPPA (OU ZETA) | Multimercado
MS GLOBAL OPPORTUNITIES DÓLAR | Internacional (33.913.562/0001-85)
NUCL11 | Teses alternativas
USDB11 (no exterior é o BND) | Internacional
WRLD11 (no exterior é o VT) | Internacional
